书名,详情链接,作者,评分,建平
挪威的森林,https://book.douban.com/subject/2159042/,[日] 村上春树 ,8.5,['像喜欢春天的熊一样']
社会契约论,https://book.douban.com/subject/1277981/,卢梭 ,8.8,['一个国家只能有一个契约']
荒原狼,https://book.douban.com/subject/3131626/,[德]赫尔曼·黑塞 ,9.0,['“超现实主义”风格作品，德国的《尤利西斯》']
棋王·树王·孩子王,https://book.douban.com/subject/26734559/,阿城 ,9.2,[]
二手时间,https://book.douban.com/subject/26704403/,[白俄] S. A. 阿列克谢耶维奇 ,8.8,['用最为细小的马赛克拼出了一幅完整的后苏联时代图景']
多情剑客无情剑(上、中、下),https://book.douban.com/subject/1422833/,古龙 ,8.7,['流水滔滔斩不断，情丝百结冲不破']
人类的群星闪耀时,https://book.douban.com/subject/1083762/,[奥] 斯蒂芬·茨威格 ,8.7,['十四个影响人类文明的瞬间']
金阁寺,https://book.douban.com/subject/3391248/,[日] 三岛由纪夫 ,8.7,['他的犯罪动机是对美的嫉妒']
通往奴役之路,https://book.douban.com/subject/1077528/,弗里德利希・冯・哈耶克 ,8.8,['古典自由主义杰作']
告白,https://book.douban.com/subject/4836682/,[日]凑佳苗 ,8.5,[]
老人与海,https://book.douban.com/subject/1064275/,海明威 ,8.4,['正是悲壮赋予生活以意义']
哈姆莱特,https://book.douban.com/subject/1006197/,[英] 莎士比亚 ,8.6,['生存还是毁灭，这是一个值得思考的问题']
美丽新世界,https://book.douban.com/subject/1321789/,[英] 阿道司·赫胥黎 ,8.7,['最经典的反乌托邦文学之一']
西方哲学史（上卷）,https://book.douban.com/subject/1008189/,[英] 罗素 ,8.9,['西方哲学史及其与从古代到现代的政治、社会情况的联系']
欢乐英雄,https://book.douban.com/subject/1264579/,古龙 ,8.8,['坚持自己的信念，在贫穷中获得欢乐与友谊']
美国宪政历程,https://book.douban.com/subject/1144185/,任东来 ,9.1,['25个案例异彩纷呈，美国宪政的酸甜苦辣尽在其中']
长袜子皮皮,https://book.douban.com/subject/1004088/,[瑞典] 阿斯特丽德·林格伦 ,9.0,[]
别闹了，费曼先生,https://book.douban.com/subject/1037602/,[美] 理查德·费曼 ,8.9,['科学顽童的故事']
海底两万里,https://book.douban.com/subject/1085470/,[法国] 儒尔·凡尔纳 ,8.5,['你听说过鹦鹉螺号吗？']
